date,country
2022-06-14,dj
2022-06-15,bq
2022-06-16,na
2022-06-17,il
2022-06-18,is
2022-06-19,pg
2022-06-20,sc
2022-06-21,mt
2022-06-22,ca
2022-06-23,af
2022-06-24,be
2022-06-25,sv
2022-06-26,id
2022-06-27,ye
2022-06-28,dz
2022-06-29,bn
2022-06-30,vn
2022-07-01,ro
2022-07-02,ad
2022-07-03,bd
2022-07-04,mm
2022-07-05,si
2022-07-06,ua
2022-07-07,np
2022-07-08,mp
2022-07-09,cd
2022-07-10,md
2022-07-11,se
2022-07-12,lv
2022-07-13,bo
2022-07-14,ge
2022-07-15,gr
2022-07-16,fm
2022-07-17,bi
2022-07-18,ro
2022-07-19,pa
2022-07-20,fk
2022-07-21,sl
2022-07-22,sb
2022-07-23,ug
2022-07-24,mu
2022-07-25,by
2022-07-26,mz
2022-07-27,pf
2022-07-28,tt
2022-07-29,cn
2022-07-30,be
2022-07-31,tk
2022-08-01,gw
2022-08-02,to
2022-08-03,zm
2022-08-04,mv
2022-08-05,ie
2022-08-06,pg
2022-08-07,ly
2022-08-08,gm
2022-08-09,pf
2022-08-10,az
2022-08-11,mv
2022-08-12,ar
2022-08-13,iq
2022-08-14,vc
2022-08-15,bs
2022-08-16,mt
2022-08-17,fr
2022-08-18,pn
2022-08-19,lc
2022-08-20,bm
2022-08-21,dj
2022-08-22,al
2022-08-23,pe
2022-08-24,gn
2022-08-25,cv
2022-08-26,za
2022-08-27,gt
2022-08-28,lk
2022-08-29,ws
2022-08-30,kr
2022-08-31,gd
2022-09-01,bo
2022-09-02,gq
2022-09-03,bd
2022-09-04,ht
2022-09-05,lv
2022-09-06,ba
2022-09-07,bh
2022-09-08,ms
2022-09-09,mg
2022-09-10,mx
2022-09-11,tl
2022-09-12,pr
2022-09-13,uy
2022-09-14,it
2022-09-15,bt
2022-09-16,gl
2022-09-17,iq
2022-09-18,pk
2022-09-19,er
2022-09-20,fm
2022-09-21,tz
2022-09-22,rs
2022-09-23,tm
2022-09-24,eg
2022-09-25,lr
2022-09-26,tl
2022-09-27,sb
2022-09-28,it
2022-09-29,in
2022-09-30,bb
2022-10-01,gi
2022-10-02,uz
2022-10-03,ck
2022-10-04,gi
2022-10-05,ve
2022-10-06,bs
2022-10-07,is
2022-10-08,tk
2022-10-09,ao
2022-10-10,nl
2022-10-11,bf
2022-10-12,sn
